"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1600000US0122216","East Brewton city, Alabama","701","62","-","**","-","**","716","97","660","112","-","**","-","**",
"1600000US0122504","East Point CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0122816","Eclectic town, Alabama","635","164","-","**","-","**","615","581","633","237","-","**","-","**",
"1600000US0123032","Edgewater CDP, Alabama","1017","462","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0123176","Edwardsville town, Alabama","830","182","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0123224","Egypt CDP, Alabama","731","96","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0123296","Elba city, Alabama","636","98","-","**","-","**","643","143","627","240","-","**","-","**",
"1600000US0123320","Elberta town, Alabama","832","138","-","**","626","54","922","127","888","98","-","**","-","**",
"1600000US0123344","Eldridge town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0123488","Elkmont town, Alabama","429","16","-","**","-","**","416","209","-","**","-","**","-","**",
"1600000US0123656","Elmore town, Alabama","901","108","-","**","-","**","840","45","943","129","-","**","-","**",
"1600000US0123872","Emelle town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0123880","Emerald Mountain CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124184","Enterprise city, Alabama","974","51","-","**","570","300","796","109","1157","60","1115","544","1852","325",
"1600000US0124256","Epes town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124280","Equality CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124472","Ethelsville town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124568","Eufaula city, Alabama","641","60","-","**","558","140","644","96","808","155","741","275","-","**",
"1600000US0124616","Eunola CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124664","Eutaw town, Alabama","726","279","-","**","-","**","1067","372","-","**","-","**","-","**",
"1600000US0124688","Eva town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0124808","Evergreen city, Alabama","707","93","-","**","712","547","552","212","849","101","-","**","-","**",
"1600000US0124880","Excel town, Alabama","591","570","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0125120","Fairfield city, Alabama","998","167","-","**","383","109","878","62","1256","100","1356","70","-","**",
"1600000US0125216","Fairford CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0125240","Fairhope city, Alabama","1575","183","-","**","-","**","1595","275","1543","228","1866","444","-","**",
"1600000US0125384","Fairview town, Alabama","692","93","-","**","-","**","-","**","654","97","-","**","-","**",
"1600000US0125648","Falkville town, Alabama","681","110","-","**","-","**","638","110","1031","348","-","**","-","**",
"1600000US0125816","Faunsdale town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0125840","Fayette city, Alabama","587","35","-","**","484","93","587","21","775","190","-","**","-","**",
"1600000US0125864","Fayetteville CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0126152","Fitzpatrick CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0126200","Five Points town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0126824","Flomaton town, Alabama","685","172","-","**","-","**","491","261","773","51","-","**","-","**",
"1600000US0126848","Florala town, Alabama","663","202","-","**","325","87","433","108","803","135","-","**","-","**",
"1600000US0126896","Florence city, Alabama","757","38","524","85","586","44","807","31","905","58","1341","566","560","300",
"1600000US0126992","Foley city, Alabama","960","67","-","**","750","350","896","108","1584","198","1469","1151","-","**",
"1600000US0127088","Forestdale CDP, Alabama","1032","196","-","**","785","27","877","142","1196","147","1014","524","-","**",
"1600000US0127376","Forkland town, Alabama","712","31","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0127520","Fort Deposit town, Alabama","426","16","-","**","414","22","421","21","873","290","-","**","-","**",
"1600000US0127616","Fort Payne city, Alabama","665","44","-","**","340","205","643","42","861","62","-","**","-","**",
"1600000US0127640","Fort Rucker CDP, Alabama","1347","69","-","**","-","**","1134","20","1412","116","1421","60","-","**",
"1600000US0128024","Franklin town, Alabama","580","305","-","**","-","**","-","**","595","361","-","**","-","**",
"1600000US0128120","Fredonia CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0128312","Frisco City town, Alabama","698","441","-","**","316","50","-","**","788","581","-","**","-","**",
"1600000US0128408","Fruitdale CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0128432","Fruithurst town, Alabama","731","168","-","**","-","**","713","105","850","145","-","**","-","**",
"1600000US0128504","Fulton town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0128552","Fultondale city, Alabama","1097","107","-","**","971","36","1215","88","1146","292","-","**","-","**",
"1600000US0128672","Fyffe town, Alabama","669","294","-","**","-","**","615","464","821","227","-","**","-","**",
"1600000US0128696","Gadsden city, Alabama","765","31","401","89","682","39","771","50","840","76","1097","124","633","192",
"1600000US0128768","Gainesville town, Alabama","886","293","-","**","-","**","-","**","912","147","-","**","-","**",
"1600000US0128816","Gallant CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0128936","Gantt town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0129032","Garden City town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0129056","Gardendale city, Alabama","1201","273","-","**","843","759","-","**","1468","266","-","**","-","**",
"1600000US0129296","Gaylesville town, Alabama","1071","269","-","**","-","**","-","**","850","288","-","**","-","**",
"1600000US0129392","Geiger town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0129464","Geneva city, Alabama","657","379","-","**","361","119","-","**","1004","186","-","**","-","**",
"1600000US0129560","Georgiana town, Alabama","573","92","-","**","556","241","479","77","719","100","-","**","-","**",
"1600000US0129608","Geraldine town, Alabama","604","397","-","**","264","65","763","361","638","298","-","**","-","**",
"1600000US0129704","Gilbertown town, Alabama","845","85","-","**","-","**","888","823","-","**","-","**","-","**",
"1600000US0129944","Glen Allen town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0129992","Glencoe city, Alabama","758","200","-","**","-","**","788","112","638","300","-","**","-","**",
"1600000US0130160","Glenwood town, Alabama","763","331","-","**","-","**","-","**","763","331","-","**","-","**",
"1600000US0130448","Goldville town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0130496","Good Hope city, Alabama","953","115","-","**","-","**","917","254","1057","609","-","**","-","**",
"1600000US0130640","Goodwater town, Alabama","587","110","-","**","576","63","708","239","-","**","-","**","-","**",
"1600000US0130736","Gordo town, Alabama","551","127","280","205","375","197","-","**","1061","124","-","**","-","**",
"1600000US0130760","Gordon town, Alabama","917","729","-","**","-","**","-","**","1125","156","-","**","-","**",
"1600000US0130808","Gordonville town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0130880","Goshen town, Alabama","881","87","-","**","-","**","825","772","875","81","-","**","-","**",
"1600000US0131000","Graham CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0131024","Grand Bay CDP, Alabama","990","123","-","**","-","**","-","**","1145","108","-","**","-","**",
"1600000US0131096","Grant town, Alabama","613","88","-","**","-","**","-","**","634","97","-","**","-","**",
"1600000US0131348","Grayson Valley CDP, Alabama","1097","58","-","**","-","**","1069","62","1197","385","-","**","-","**",
"1600000US0131384","Graysville city, Alabama","988","257","-","**","-","**","770","51","1113","121","-","**","-","**",
"1600000US0131720","Greensboro city, Alabama","664","21","-","**","398","276","670","15","664","195","-","**","-","**",
