State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
CA,2,2,1,50,55,2,2,0.666666667,0,1,3,1,1,50,2.925407491,4587,2000000,111,849,0,3580,47,250000,4000,10000,2591,2365,3103,4000,Burlingame,37.5859,-122.3667,30995,2724.1,1
CA,3,2,1,35,35,1,1,0.333333333,0,1,4,2,1,35,3.368357339,4632,1361100,113,637,3,3816,63,214515,4000,10000,2890,2576,2834,4000,Calabasas,34.1375,-118.6689,23106,650.8,1
CA,2,2,1,25,25,2,2,0.25,6,1,3,1,1,25,4.324218251,588,874200,0,107,0,481,0,116307,2482,6224,1584,1375,2138,1632,Calistoga,38.5818,-122.5824,5191,777.9,6
CA,2,2,1,35,25,1,1,0.111111111,0,1,4,2,1,35,2.972516184,11916,735400,263,1006,18,10566,63,149649,2979,5457,2483,2020,2431,2790,Camarillo,34.223,-119.0321,76748,1385.1,1
CA,3,3,1,35,35,2,1,0.4,0,1,4,1,1,35,3.869064806,6057,1555000,215,955,23,4844,20,228427,4000,10000,2619,2191,2761,4000,Campbell,37.2802,-121.9539,43464,2759.7,1
CA,2,2,1,27,15,1,1,0.75,0,1,1,1,1,27,2.141005305,1178,837700,9,183,0,986,0,114254,3232,6314,2212,1783,2417,2753,Capitola,36.9773,-121.9537,9921,2402.4,1
CA,2,2,1,40,40,1,1,0.6,0,1,1,1,1,40,2.141005305,375,1616800,0,124,0,251,0,180393,3592,7387,2685,2854,2775,2692,Carmel-by-the-Sea,36.5528,-121.9222,3239,1178.4,1
CA,2,2,0,30,30,2,1,0.6,0,1,2,1,1,30,2.533206398,13202,632200,731,1143,50,11237,41,127959,2568,4886,1815,1162,1642,2089,Carson,33.8374,-118.2559,94475,1947.4,4
CA,2,2,0,20,35,1,1,0.333333333,0,1,1,2,1,20,1.795912905,5586,379900,115,192,9,5270,0,88217,1807,2654,1570,641,1341,1716,Ceres,37.5952,-120.962,49183,1999.2,7
CA,2,2,1,35,35,2,1,0.647058824,0,1,4,1,1,35,3.317608584,12095,444700,321,813,49,10785,127,122158,2108,3568,1360,1055,1335,1739,Chico,39.7578,-121.8161,110001,1152,4
